観測所名称,フリガナ,市町,水系名,河川名,データ所管,住所,緯度,経度,事務所,入力時使用
西部建設,セイブケンセツ,広島市南区,太田川,京橋川,河川課,広島市南区比治山本町１６－１２　西部建設事務所内,34.38166666666667,132.46666666666667,,1
上瀬野,カミセノ,広島市安芸区,瀬野川,瀬野川,河川課,広島市安芸区上瀬野瀬野川公園内,34.42833333333333,132.61805555555557,,1
熊野町,クマノチョウ,熊野町,二河川,二河川,河川課,安芸郡熊野町３８１５－１　熊野町役場内,34.33888888888889,132.56805555555556,,1
江波,エバ,広島市中区,太田川,天満川,砂防課,広島市中区江波西１丁目１番１３号,34.373111111111115,132.43583333333333,,1
福木,フクギ,広島市東区,太田川,小河原川,砂防課,広島市東区馬木９丁目１－２,34.44547222222222,132.53583333333333,,1
中山新町,ナカヤマシンマチ,広島市東区,太田川,中山川,砂防課,広島市東区中山新町２丁目８番１号,34.42086111111111,132.5,,1
楠那,クスナ,広島市南区,その他,沿岸部,砂防課,広島市南区楠那町５番７号,34.362722222222224,132.4861111111111,,1
己斐,コイ,広島市西区,太田川,"八幡川
放水路",砂防課,広島市西区己斐３丁目１２７番地,34.406527777777775,132.4175,,1
堂免橋,ドウメンバシ,広島市安佐北区,太田川,南原川,砂防課,広島市安佐北区可部町上町屋,34.55716666666667,132.51611111111112,,1
日浦,ヒウラ,広島市安佐北区,太田川,太田川,砂防課,広島市安佐北区安佐町大字あさひが丘９５５,34.50913888888889,132.4388888888889,,1
上原,ウエバラ,広島市安佐北区,太田川,太田川,砂防課,広島市安佐北区可部町上原,34.51119444444444,132.51666666666668,,1
揚倉山,アゲクラヤマ,府中町,太田川,八幡川,砂防課,安芸郡府中町大通３丁目５－１,34.394888888888886,132.52472222222224,,1
海田,カイタ,海田町,瀬野川,瀬野川,砂防課,安芸郡海田町幸町１０－１,34.36816666666667,132.545,,1
坂,サカ,坂町,単独河川,総頭川,砂防課,安芸郡坂町２９１２,34.33827777777778,132.51666666666668,,1
彩が丘,アヤガオカ,広島市佐伯区,八幡川,八幡川,砂防課,広島市佐伯区河内南２丁目１０番１号,34.410444444444444,132.3438888888889,,1
川根,カワネ,安芸高田市,江の川,田草川,砂防課,安芸高田市高宮町川根字篠原５５７９,34.82319444444445,132.65,,1
下甲立,シモコウタチ,安芸高田市,江の川,江の川,砂防課,安芸高田市甲田町下甲立６３９－２,34.71233333333333,132.76833333333335,,1
吉田町,ヨシダチョウ,安芸高田市,江の川,江の川,河川課,安芸高田市吉田町吉田字貴船１７８３,34.668055555555554,132.7011111111111,,1
八千代町,ヤチヨチョウ,安芸高田市,江の川,簸の川,河川課,安芸高田市八千代町佐々井１３６７　安芸高田市役所八千代支所内,34.620555555555555,132.60055555555556,,1
美土里町,ミドリチョウ,安芸高田市,江の川,本村川,河川課,安芸高田市美土里町本郷１７７５　安芸高田市役所美土里支所内,34.726111111111116,132.6175,,1
白木,シラキ,広島市安佐北区,太田川,三篠川,砂防課,広島市安佐北区白木町大字市川１４２８,34.553527777777774,132.6552777777778,,1
多治比,タジヒ,安芸高田市,江の川,於手保川,砂防課,安芸高田市吉田町多治比字於手保２６３１,34.68102777777778,132.6472222222222,,1
佐々部,ササベ,安芸高田市,江の川,生田川,砂防課,安芸高田市高宮町佐々部字大明神９９－４,34.78505555555555,132.72666666666666,,1
向原坂,ムカイハラサカ,安芸高田市,太田川,大土川,砂防課,安芸高田市向原町坂字松田２１５７－６,34.60930555555556,132.73749999999998,,1
