観測所名称,フリガナ,水系名,河川名,事務所,市町,データ所管,住所,緯度,経度,入力時使用,評価対象
多治比,タジヒ,江の川,多治比川,西部建設事務所,安芸高田市,河川課,安芸高田市吉田町多冶比,34.68194444444444,132.66722222222222,1,1
南原,ナバラ,太田川,南原川,西部建設事務所,広島市安佐北区,河川課,広島市安佐北区可部町上町屋字下小野1452番2,34.54055555555556,132.5013888888889,1,1
向原,ムカイハラ,太田川,三篠川,西部建設事務所,安芸高田市,河川課,安芸高田市向原町長田字田屋３４６２－２地先,34.607305555555556,132.70333333333332,1,1
上甲立,カミコウダチ,江の川,本村川,西部建設事務所,安芸高田市,河川課,安芸高田市甲田町上甲立字六地蔵１２５２－１地先,34.708333333333336,132.73944444444444,1,1
上安,カミヤス,太田川,安川,西部建設事務所,広島市安佐南区,河川課,広島市安佐南区相田２丁目地先,34.46930555555556,132.45999999999998,1,1
石原,イシハラ,瀬野川,瀬野川,西部建設事務所,海田町,河川課,安芸郡海田町石原地先,34.375305555555556,132.54555555555555,1,1
段原(猿猴川),ダンバラ,太田川,猿猴川,西部建設事務所,広島市南区,河川課,広島市南区段原末広町地先,34.39061111111111,132.4775,1,0
岡ノ下,オカノシタ,単独河川,岡ノ下川,西部建設事務所,広島市佐伯区,河川課,広島市佐伯区五日市中央１地先,34.36666666666667,132.33472222222224,1,1
大須,オオス,太田川,府中大川,西部建設事務所,府中町,河川課,安芸郡府中町大須３丁目,34.39694444444444,132.5,1,1
亀山,カメヤマ,太田川,大毛寺川,西部建設事務所,広島市安佐北区,河川課,広島市安佐北区亀山,34.52294444444444,132.49666666666664,1,1
三入南,ミイリミナミ,太田川,根谷川,西部建設事務所,広島市安佐北区,河川課,広島市安佐北区三入３丁目,34.53777777777778,132.5175,1,1
瀬野,セノ,瀬野川,瀬野川,西部建設事務所,広島市安芸区,河川課,広島市安芸区瀬野１丁目１１２３,34.42205555555555,132.605,1,1
下原,シモバラ,江の川,長瀬川,西部建設事務所,安芸高田市,河川課,安芸高田市高宮町川根字下原,34.823638888888894,132.68166666666664,1,1
門田,モンデン,江の川,生田川,西部建設事務所,安芸高田市,河川課,安芸高田市高宮町房後字立石,34.76694444444444,132.71722222222223,1,1
菅沢,スガサワ,太田川,水内川,西部建設事務所,広島市佐伯区,河川課,広島市佐伯区湯来町大字菅沢字向志割５３１番地地先,34.48097222222222,132.25861111111112,1,1
石内,イシウチ,八幡川,石内川,西部建設事務所,広島市佐伯区,河川課,広島市佐伯区五日市町大字石内字平田３７１２番３,34.41211111111111,132.3675,1,1
呉地,クレジ,二河川,二河川,西部建設事務所,熊野町,河川課,安芸郡熊野町字三戸山５３０番,34.32466666666667,132.58472222222224,1,1
向田,ムコウダ,太田川,鈴張川,西部建設事務所,広島市安佐北区,河川課,広島市安佐北区安佐町大字飯室字向田４４０１番４,34.5625,132.43472222222223,1,1
久地,クチ,太田川,吉山川,西部建設事務所,広島市安佐北区,河川課,広島市安佐北区安佐町大字久地字城下乙４４９２番,34.51916666666666,132.40027777777777,1,1
町田,マチダ,黒瀬川,黒瀬川,呉支所,呉市,河川課,呉市広弁天橋町８,34.246944444444445,132.61777777777777,1,1
二河,ニコウ,二河川,二河川,呉支所,呉市,河川課,呉市二河町１番,34.25544444444444,132.5602777777778,1,1
惣引谷,ソウビキタニ,黒瀬川,長谷川,呉支所,呉市,河川課,呉市郷原町字惣引谷３２５２番１,34.30277777777778,132.61805555555557,1,1
宮内,ミヤウチ,御手洗川,御手洗川,廿日市支所,廿日市市,河川課,廿日市市宮内字西畑口３６４８－９地先,34.340444444444444,132.29444444444445,1,1
平良,ヘラ,単独河川,可愛川,廿日市支所,廿日市市,河川課,廿日市市平良２丁目２０７番１,34.35475,132.32861111111112,1,1
水ノ越,ミノコシ,単独河川,永慶寺川,廿日市支所,廿日市市,河川課,廿日市市大野字水ノ越４１１０,34.29411111111111,132.275,1,1
石井谷,イシイタニ,江の川,冠川,安芸太田支所,北広島町,河川課,山県郡北広島町石井谷字岸本,34.660555555555554,132.53333333333333,1,1
春木,ハルキ,江の川,志路原川,安芸太田支所,北広島町,河川課,山県郡北広島町春木字茶堂１４２５－３地先,34.68405555555555,132.5263888888889,1,1
大朝,オオアサ,江の川,江の川,安芸太田支所,北広島町,河川課,山県郡北広島町大朝２４９３,34.77166666666667,132.45138888888889,1,1
失平,シッペイ,沼田川,入野川,東広島支所,東広島市,河川課,東広島市河内町入野失平2110-1地先,34.45305555555556,132.85027777777776,1,1
風早,カザハヤ,単独河川,高野川,東広島支所,東広島市,河川課,東広島市安芸津町風早字印内５０１－８地先,34.314027777777774,132.78583333333333,1,1
新庄,シンジョウ,賀茂川,賀茂川,東広島支所,竹原市,河川課,竹原市新庄町町田１９８１－２,34.38422222222222,132.8838888888889,1,1
下野,シモノ,単独河川,本川,東広島支所,竹原市,河川課,竹原市下野町字大応,34.353500000000004,132.90416666666667,1,1
河戸,コウド,沼田川,沼田川,東広島支所,東広島市,河川課,東広島市河内町河戸字中須賀,34.498444444444445,132.82444444444445,1,1
中島,ナカシマ,沼田川,入野川,東広島支所,東広島市,河川課,東広島市高屋町大字中島,34.44499999999999,132.78416666666666,1,1
樋ノ詰,ヒノツメ,黒瀬川,黒瀬川,東広島支所,東広島市,河川課,東広島市西条町馬木樋ノ詰橋下,34.35638888888889,132.71694444444444,1,1
松ヶ瀬,マツガセ,黒瀬川,黒瀬川,東広島支所,東広島市,河川課,東広島市黒瀬町菅田松ヶ瀬橋下,34.323055555555555,132.66722222222222,1,1
下見,シタミ,黒瀬川,黒瀬川,東広島支所,東広島市,河川課,東広島市西条町西条東番蔵川合流点下,34.422777777777775,132.7336111111111,1,1
三津,ミツ,単独河川,三津大川,東広島支所,東広島市,河川課,東広島市安芸津町三津２６３５地先,34.32916666666667,132.81722222222223,1,1
竹原,タケハラ,賀茂川,賀茂川,東広島支所,竹原市,河川課,竹原市竹原町吉崎,34.33527777777778,132.9,1,1
古河,フルコウ,黒瀬川,古河川,東広島支所,東広島市,河川課,東広島市西条町大字田口字古河,34.388777777777776,132.71194444444444,1,1
御薗宇,ミソノウ,黒瀬川,黒瀬川,東広島支所,東広島市,河川課,東広島市西条町御園宇一水橋上,34.397777777777776,132.7336111111111,1,1
駅家中島,エキヤナカジマ,芦田川,服部川,東部建設事務所,福山市,河川課,福山市駅家町中島1125-3,34.55027777777777,133.31694444444443,1,1
瀬戸山北,セトサボク,芦田川,河手川,東部建設事務所,福山市,河川課,福山市瀬戸町山北564,34.47222222222222,133.3011111111111,1,1
西中条,ニシチュウジョウ,芦田川,箱田川,東部建設事務所,福山市,河川課,福山市神辺町字西中条梶久９４５－１,34.56388888888888,133.37055555555557,1,1
中野,ナカノ,芦田川,加茂川,東部建設事務所,福山市,河川課,福山市加茂町大字中野２６６－４,34.5675,133.34416666666667,1,1
福田,フクダ,芦田川,有地川,東部建設事務所,福山市,河川課,福山市芦田町大字福田７３４－３,34.534166666666664,133.28722222222223,1,1
万能倉,マナグラ,芦田川,吉野川,東部建設事務所,福山市,河川課,福山市駅家町大字万能倉３１７－２,34.54694444444444,133.3336111111111,1,1
上安井,カミヤスイ,芦田川,神谷川,東部建設事務所,福山市,河川課,福山市新市町大字上安井２の４地先,34.587500000000006,133.26666666666668,1,1
大黒,ダイコク,芦田川,出口川,東部建設事務所,府中市,河川課,府中市出口町字大黒町１１２３,34.57680555555556,133.22694444444446,1,1
